Course_Code,Course Name_x,R1_Points19,R2_Points19,Course Name_y,R1_Points20,R2_Points20,Course Category,Course_Name,R1_Points21,R2_Points21
AL801,Software Design with Virtual Reality and Gaming,304.0,,Software Design with Virtual Reality and Gaming,303.0,,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,300.0,
AL802,Software Design with Cloud Computing,301.0,,Software Design with Artificial Intelligence for Cloud Computing,332.0,,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Clo,313.0,
AL803,Software Design with Mobile Apps and Connected Devices,309.0,,Software Design with Mobile Apps and Connected Devices,337.0,,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devi,350.0,
AL805,Network Management and Cloud Infrastructure,329.0,,Computer Engineering with Network Infrastructure,333.0,,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,321.0,
AL810,Quantity Surveying,307.0,,Quantity Surveying,319.0,,Architecture and construction,Quantity Surveying,328.0,
AL820,Mechanical and Polymer Engineering,300.0,,Mechanical and Polymer Engineering,308.0,,Manufacturing and processing,Mechanical and Polymer Engineering,327.0,
AL830,General Nursing,410.0,,General Nursing,442.0,,Health,General Nursing,451.0,444.0
AL832,Psychiatric Nursing,387.0,,Psychiatric Nursing,387.0,384.0,Health,Mental Health Nursing,440.0,431.0
AL836,Nutrition and Health Science,352.0,,Nutrition and Health Science,334.0,,Health,Nutrition and Health Science,346.0,
AL837,Sports Science with Exercise Physiology,351.0,,Sports Science with Exercise Physiology,351.0,,Personal services,Sports Science with Exercise Physiology,357.0,
AL838,Biotechnology,302.0,,Biotechnology,307.0,,Biological and related sciences,Biotechnology,324.0,
AL839,Microbiology,322.0,,Microbiology,325.0,,Biological and related sciences,Microbiology,325.0,
AL840,Pharmaceutical Sciences,328.0,,Pharmaceutical Sciences,347.0,,Physical sciences,Pharmaceutical Sciences,346.0,
AL841,Athletic and Rehabilitation Therapy,423.0,,Athletic and Rehabilitation Therapy,430.0,,Health,Athletic and Rehabilitation Therapy,477.0,476.0
AL842,Bioveterinary Science,310.0,,Bioveterinary Science,313.0,,Biological and related sciences,Bioveterinary Science,338.0,
AL843,Physical Activity and Health Science,310.0,,Physical Activity and Health Science,306.0,,Health,Physical Activity and Health Science,306.0,
AL850,Business,307.0,,Business,309.0,,Business and administration,Business,309.0,
AL851,Business and Law,301.0,,Business and Law,295.0,,Law,Business and Law,302.0,
AL852,Accounting (with optional placement),290.0,,Accounting,309.0,,Business and administration,Accounting,336.0,
AL855,Hospitality Management (with International placement),312.0,,Hospitality Management (with international placement),308.0,,Personal services,Hospitality Management (with international placeme,309.0,
AL857,Digital Marketing,300.0,,Digital Marketing,304.0,,Business and administration,Digital Marketing,304.0,
AL860,Social Care Practice,309.0,,Social Care Practice,300.0,,Welfare,Social Care Practice,301.0,
AL861,Animation and Illustration (portfolio),615.0,,Animation and Illustration (portfolio),578.0,,Arts,Animation and Illustration (portfolio),575.0,
AL863,Graphic and Digital Design (portfolio),703.0,,Graphic and Digital Design (portfolio),781.0,,Arts,Graphic and Digital Design (portfolio),747.0,
AL864,Early Years Care and Education,307.0,,Early Years Care and Education,307.0,,Welfare,Early Years Care and Education,306.0,
AL870,Applied Psychology,409.0,,Applied Psychology,418.0,,Social and behavioural sciences,Applied Psychology,484.0,467.0
CW018,"Business (options, Wexford)",327.0,,Business (options),298.0,248.0,Business and administration,Business (options),307.0,
CW028,Early Childhood Education and Care (Wexford),252.0,,Early Childhood Education and Care,252.0,,Welfare,Early Childhood Education and Care,260.0,
CW038,"Art (portfolio, Wexford)",700.0,,Art (portfolio),700.0,,Arts,Art (portfolio),700.0,
CW058,Tourism and Event Management (Wexford),252.0,,Tourism and Event Management,298.0,,Personal services,Tourism and Event Management,292.0,
CW068,Applied Social Studies - Professional Social Care (Wexford),251.0,,Applied Social Studies in Professional Social Care,245.0,,Welfare,Applied Social Studies in Professional Social Care,250.0,
CW078,Sustainable Farm Management and Agribusiness (Wexford),266.0,,Sustainable Farm Management and Agribusiness,269.0,,Agriculture,Sustainable Farm Management and Agribusiness,270.0,
CW088,Visual Communications and Design (Wexford),309.0,,Visual Communications and Design,274.0,,Arts,Visual Communications and Design,270.0,
CW108,Science (options),261.0,,Science (options),261.0,,Biological and related sciences,Science (options),266.0,
CW128,Brewing and Distilling,271.0,,Brewing and Distilling,263.0,,Biological and related sciences,Brewing and Distilling,307.0,
CW188,Sport Rehabilitation and Athletic Therapy,454.0,,Sport Rehabilitation and Athletic Therapy,451.0,448.0,Health,Sport Rehabilitation and Athletic Therapy,451.0,
CW208,Computer Games Development,281.0,,Computer Games Development,279.0,,Information and Communication Technologies (ICTs),Computer Games Development,272.0,
CW238,Software Development,300.0,,Software Development,297.0,,Information and Communication Technologies (ICTs),Software Development,295.0,
