Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,Course_Name,R1_Points21,R2_Points21
AL801,304.0,,303.0,,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,300.0,
AL802,301.0,,332.0,,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Clo,313.0,
AL803,309.0,,337.0,,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devi,350.0,
AL805,329.0,,333.0,,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,321.0,
AL810,307.0,,319.0,,Architecture and construction,Quantity Surveying,328.0,
AL820,300.0,,308.0,,Manufacturing and processing,Mechanical and Polymer Engineering,327.0,
AL830,410.0,,442.0,,Health,General Nursing,451.0,444.0
AL832,387.0,,387.0,384.0,Health,Mental Health Nursing,440.0,431.0
AL836,352.0,,334.0,,Health,Nutrition and Health Science,346.0,
AL837,351.0,,351.0,,Personal services,Sports Science with Exercise Physiology,357.0,
AL838,302.0,,307.0,,Biological and related sciences,Biotechnology,324.0,
AL839,322.0,,325.0,,Biological and related sciences,Microbiology,325.0,
AL840,328.0,,347.0,,Physical sciences,Pharmaceutical Sciences,346.0,
AL841,423.0,,430.0,,Health,Athletic and Rehabilitation Therapy,477.0,476.0
AL842,310.0,,313.0,,Biological and related sciences,Bioveterinary Science,338.0,
AL843,310.0,,306.0,,Health,Physical Activity and Health Science,306.0,
AL850,307.0,,309.0,,Business and administration,Business,309.0,
AL851,301.0,,295.0,,Law,Business and Law,302.0,
AL852,290.0,,309.0,,Business and administration,Accounting,336.0,
AL855,312.0,,308.0,,Personal services,Hospitality Management (with international placeme,309.0,
AL857,300.0,,304.0,,Business and administration,Digital Marketing,304.0,
AL860,309.0,,300.0,,Welfare,Social Care Practice,301.0,
AL861,615.0,,578.0,,Arts,Animation and Illustration (portfolio),575.0,
AL863,703.0,,781.0,,Arts,Graphic and Digital Design (portfolio),747.0,
AL864,307.0,,307.0,,Welfare,Early Years Care and Education,306.0,
AL870,409.0,,418.0,,Social and behavioural sciences,Applied Psychology,484.0,467.0
CW018,327.0,,298.0,248.0,Business and administration,Business (options),307.0,
CW028,252.0,,252.0,,Welfare,Early Childhood Education and Care,260.0,
CW038,700.0,,700.0,,Arts,Art (portfolio),700.0,
CW058,252.0,,298.0,,Personal services,Tourism and Event Management,292.0,
CW068,251.0,,245.0,,Welfare,Applied Social Studies in Professional Social Care,250.0,
CW078,266.0,,269.0,,Agriculture,Sustainable Farm Management and Agribusiness,270.0,
CW088,309.0,,274.0,,Arts,Visual Communications and Design,270.0,
CW108,261.0,,261.0,,Biological and related sciences,Science (options),266.0,
CW128,271.0,,263.0,,Biological and related sciences,Brewing and Distilling,307.0,
CW188,454.0,,451.0,448.0,Health,Sport Rehabilitation and Athletic Therapy,451.0,
CW208,281.0,,279.0,,Information and Communication Technologies (ICTs),Computer Games Development,272.0,
CW238,300.0,,297.0,,Information and Communication Technologies (ICTs),Software Development,295.0,
CW248,307.0,,285.0,,Information and Communication Technologies (ICTs),Information Technology Management,293.0,
CW268,274.0,,287.0,,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,291.0,
CW438,271.0,,272.0,,Architecture and construction,Construction (options),260.0,251.0
CW468,252.0,,262.0,,Architecture and construction,Architectural Technology,291.0,283.0
CW478,348.0,,433.0,,Architecture and construction,Civil Engineering,465.0,
CW548,310.0,,321.0,,Engineering and engineering trades,Mechanical Engineering,330.0,328.0
CW558,279.0,,280.0,,Engineering and engineering trades,Electronic Systems,280.0,
CW568,366.0,,380.0,,Engineering and engineering trades,Aerospace Engineering,371.0,359.0
CW578,327.0,,325.0,,Arts,TV and Media Production,318.0,
CW708,298.0,,302.0,,Law,Law - LLB,292.0,
CW728,286.0,,252.0,,Arts,Product Design Innovation,246.0,
CW748,265.0,,270.0,,Welfare,Early Childhood Education and Care,290.0,
CW758,290.0,,336.0,,Welfare,Professional Social Care Practice,360.0,358.0
CW808,248.0,,251.0,,Business and administration,Media and Public Relations,247.0,
CW848,279.0,,254.0,,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,269.0,
CW858,700.0,,700.0,,Personal services,Sports Management and Coaching (options,,700.0
CW908,260.0,,280.0,,Business and administration,Business (options),272.0,
CW938,270.0,,283.0,,Business and administration,Business with Law,270.0,
CW948,301.0,,300.0,,Business and administration,Accounting,319.0,
PC405,251.0,,253.0,216.0,Social and behavioural sciences,Social,,263.0
PC410,203.0,,252.0,209.0,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requ,262.0,230.0
