Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,HEI,Course_Name,R1_Points21,R2_Points21
AL801,304.0,,303.0,,Information and Communication Technologies (ICTs),Athlone Institute of Technology,Software Design for Virtual Reality and Gaming,300.0,
AL802,301.0,,332.0,,Information and Communication Technologies (ICTs),Athlone Institute of Technology,Software Design in Artificial Intelligence for Clo,313.0,
AL803,309.0,,337.0,,Information and Communication Technologies (ICTs),Athlone Institute of Technology,Software Design for Mobile Apps and Connected Devi,350.0,
AL805,329.0,,333.0,,Information and Communication Technologies (ICTs),Athlone Institute of Technology,Computer Engineering for Network Infrastructure,321.0,
AL810,307.0,,319.0,,Architecture and construction,Athlone Institute of Technology,Quantity Surveying,328.0,
AL820,300.0,,308.0,,Manufacturing and processing,Athlone Institute of Technology,Mechanical and Polymer Engineering,327.0,
AL830,410.0,,442.0,,Health,Athlone Institute of Technology,General Nursing,451.0,444.0
AL832,387.0,,387.0,384.0,Health,Athlone Institute of Technology,Mental Health Nursing,440.0,431.0
AL836,352.0,,334.0,,Health,Athlone Institute of Technology,Nutrition and Health Science,346.0,
AL837,351.0,,351.0,,Personal services,Athlone Institute of Technology,Sports Science with Exercise Physiology,357.0,
AL838,302.0,,307.0,,Biological and related sciences,Athlone Institute of Technology,Biotechnology,324.0,
AL839,322.0,,325.0,,Biological and related sciences,Athlone Institute of Technology,Microbiology,325.0,
AL840,328.0,,347.0,,Physical sciences,Athlone Institute of Technology,Pharmaceutical Sciences,346.0,
AL841,423.0,,430.0,,Health,Athlone Institute of Technology,Athletic and Rehabilitation Therapy,477.0,476.0
AL842,310.0,,313.0,,Biological and related sciences,Athlone Institute of Technology,Bioveterinary Science,338.0,
AL843,310.0,,306.0,,Health,Athlone Institute of Technology,Physical Activity and Health Science,306.0,
AL850,307.0,,309.0,,Business and administration,Athlone Institute of Technology,Business,309.0,
AL851,301.0,,295.0,,Law,Athlone Institute of Technology,Business and Law,302.0,
AL852,290.0,,309.0,,Business and administration,Athlone Institute of Technology,Accounting,336.0,
AL855,312.0,,308.0,,Personal services,Athlone Institute of Technology,Hospitality Management (with international placeme,309.0,
