Course_Code,Course Name,R1_Points19,R2_Points19
AL801,Software Design with Virtual Reality and Gaming,304,
AL802,Software Design with Cloud Computing,301,
AL803,Software Design with Mobile Apps and Connected Devices,309,
AL805,Network Management and Cloud Infrastructure,329,
AL810,Quantity Surveying,307,
AL820,Mechanical and Polymer Engineering,300,
AL830,General Nursing,410,
AL832,Psychiatric Nursing,387,
AL836,Nutrition and Health Science,352,
AL837,Sports Science with Exercise Physiology,351,
AL838,Biotechnology,302,
AL839,Microbiology,322,
AL840,Pharmaceutical Sciences,328,
AL841,Athletic and Rehabilitation Therapy,423,
AL842,Bioveterinary Science,310,
AL843,Physical Activity and Health Science,310,
AL850,Business,307,
AL851,Business and Law,301,
AL852,Accounting (with optional placement),290,
AL853,Accounting and Law,305,
AL855,Hospitality Management (with International placement),312,
AL857,Digital Marketing,300,
AL860,Social Care Practice,309,
AL861,Animation and Illustration (portfolio),#615,
AL863,Graphic and Digital Design (portfolio),#703,
AL864,Early Years Care and Education,307,
AL870,Applied Psychology,409,
CW018,"Business (options, Wexford)",327,
CW028,Early Childhood Education and Care (Wexford),252,
CW038,"Art (portfolio, Wexford)",#700,
CW058,Tourism and Event Management (Wexford),252,
CW068,Applied Social Studies - Professional Social Care (Wexford),251,
CW078,Sustainable Farm Management and Agribusiness (Wexford),266,
CW088,Visual Communications and Design (Wexford),309,
CW108,Science (options),261,
CW128,Brewing and Distilling,271,
CW178,Sport Science (options),399,
CW188,Sport Rehabilitation and Athletic Therapy,454,
CW208,Computer Games Development,281,
CW238,Software Development,300,
CW248,Information Technology Management,307,
CW268,Computing in Interactive Digital Art and Design,274,
CW438,Construction (options),271,
CW468,Architectural Technology,252,
CW478,Civil Engineering,348,
CW548,Mechanical Engineering,310,
CW558,Electronic Systems,279,
CW568,Aerospace Engineering,366,
CW578,TV and Media Production,327,
CW708,Law - LLB,298,
CW728,Product Design Innovation,286,
CW748,Early Childhood Education and Care,265,
CW758,Applied Social Studies - Professional Social Care,290,
CW808,Media and Public Relations,248,
CW848,Digital Marketing with Analytics,279,
CW858,"Sports Management and Coaching (options, portfolio)",#700,
CW908,Business (options),260,
CW938,Business with Law,270,
CW948,Accounting,301,
PC405,"Social, Political and Community Studies",251,
PC410,Arts and Humanities (fulfils Teaching Council requirements),203,
PC411,English and History (fulfils Teaching Council requirements),168,
CR105,Chemical and Biopharmaceutical Engineering,432,
CR106,Software Development,351,
CR108,Mechanical Engineering,425,
CR109,Structural Engineering,341,
CR110,Automotive Business Management and Technology,318,
CR112,Creative Digital Media,335,
CR116,Computer Systems,318,
CR121,Music at CIT Cork School of Music,#633,
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,
CR126,Popular Music: Drums at CIT Cork School of Music,#878,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,
CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,
CR129,Popular Music: Voice at CIT Cork School of Music,#857,
CR130,Musical Theatre,#500,
CR150,Business Information Systems,326,
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,
CR220,Fine Art at CIT Crawford College of Art and Design,#620,
CR225,Photography with New Media,#920,
CR305,Physical Sciences (Common Entry),279,
