COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,CATEGORY (i.e.ISCED description),HEI
International Business,AC120,209,,Business and administration,American College
Liberal Arts,AC137,252,,Humanities (except languages),American College
"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,,Arts,National College of Art and Design
Graphic Design and Moving Image Design (portfolio),AD102,#+matric,,Arts,National College of Art and Design
Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,,Arts,National College of Art and Design
"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,,Education,National College of Art and Design
Fine Art (portfolio),AD204,#+matric,,Arts,National College of Art and Design
Fashion Design (portfolio),AD211,#+matric,,Arts,National College of Art and Design
Product Design (portfolio),AD212,#+matric,,Arts,National College of Art and Design
Visual Culture,AD215,377,320,Arts,National College of Art and Design
Illustration (portfolio),AD217,#+matric,,Arts,National College of Art and Design
Interaction Design (portfolio),AD222,#+matric,,Information and Communication Technologies (ICTs),National College of Art and Design
Software Design,AL600,AQA,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Computer Engineering,AL601,AQA,219,Engineering and engineering trades,Athlone Institute of Technology
Mechanical Engineering,AL602,AQA,,Engineering and engineering trades,Athlone Institute of Technology
Civil Engineering,AL604,AQA,AQA,Architecture and construction,Athlone Institute of Technology
Music and Instrument Technology,AL605,AQA,AQA,Engineering and engineering trades,Athlone Institute of Technology
Pharmacy Technician,AL630,295,,Health,Athlone Institute of Technology
Dental Nursing,AL631,300,298,Health,Athlone Institute of Technology
Applied Science,AL632,234,,Biological and related sciences,Athlone Institute of Technology
Business,AL650,207,,Business and administration,Athlone Institute of Technology
Culinary Arts,AL660,AQA,AQA,Personal services,Athlone Institute of Technology
Bar Supervision,AL661,AQA,AQA,Personal services,Athlone Institute of Technology
Business (Sport and Recreation),AL663,AQA,AQA,Personal services,Athlone Institute of Technology
Computer Engineering with Network Infrastructure,AL701,216,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Software Design with Artificial Intelligence for Cloud Computing,AL702,214,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Software Design with Virtual Reality and Gaming,AL703,216,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Computer Engineering,AL704,204,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Software Design with Mobile Apps and Connected Devices,AL705,216,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Mechanical Engineering,AL710,223,,Engineering and engineering trades,Athlone Institute of Technology
Mechanical Engineering and Renewable Energy,AL711,228,,Engineering and engineering trades,Athlone Institute of Technology
Automation and Robotics,AL712,252,,Engineering and engineering trades,Athlone Institute of Technology
Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),AL713,218,,Engineering and engineering trades,Athlone Institute of Technology
Music and Sound Engineering,AL718,214,,Engineering and engineering trades,Athlone Institute of Technology
Civil Engineering,AL721,233,,Architecture and construction,Athlone Institute of Technology
Biotechnology,AL730,250,,Biological and related sciences,Athlone Institute of Technology
Veterinary Nursing,AL731,400,,Veterinary,Athlone Institute of Technology
Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,,Physical sciences,Athlone Institute of Technology
Exercise and Health Science,AL740,250,,Personal services,Athlone Institute of Technology
Digital Marketing,AL751,241,,Business and administration,Athlone Institute of Technology
Business,AL752,225,,Business and administration,Athlone Institute of Technology
Hotel and Leisure Management,AL761,208,,Personal services,Athlone Institute of Technology
Graphic Design (portfolio),AL763,781,,Arts,Athlone Institute of Technology
Early Years Care and Education,AL764,260,,Welfare,Athlone Institute of Technology
Applied Social Studies in Social Care,AL765,280,,Welfare,Athlone Institute of Technology
Software Design with Virtual Reality and Gaming,AL801,303,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Software Design with Artificial Intelligence for Cloud Computing,AL802,332,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Software Design with Mobile Apps and Connected Devices,AL803,337,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Computer Engineering with Network Infrastructure,AL805,333,,Information and Communication Technologies (ICTs),Athlone Institute of Technology
Quantity Surveying,AL810,319,,Architecture and construction,Athlone Institute of Technology
Civil Engineering,AL811,320,,Architecture and construction,Athlone Institute of Technology
Mechanical and Polymer Engineering,AL820,308,,Manufacturing and processing,Athlone Institute of Technology
General Nursing,AL830,442,,Health,Athlone Institute of Technology
Psychiatric Nursing,AL832,387,384,Health,Athlone Institute of Technology
Nutrition and Health Science,AL836,334,,Health,Athlone Institute of Technology
Sports Science with Exercise Physiology,AL837,351,,Personal services,Athlone Institute of Technology
Biotechnology,AL838,307,,Biological and related sciences,Athlone Institute of Technology
Microbiology,AL839,325,,Biological and related sciences,Athlone Institute of Technology
Pharmaceutical Sciences,AL840,347,,Physical sciences,Athlone Institute of Technology
Athletic and Rehabilitation Therapy,AL841,430,,Health,Athlone Institute of Technology
Bioveterinary Science,AL842,313,,Biological and related sciences,Athlone Institute of Technology
Physical Activity and Health Science,AL843,306,,Health,Athlone Institute of Technology
Business,AL850,309,,Business and administration,Athlone Institute of Technology
Business and Law,AL851,295,,Law,Athlone Institute of Technology
Accounting,AL852,309,,Business and administration,Athlone Institute of Technology
Sport Management (with international placement),AL854,302,299,Personal services,Athlone Institute of Technology
Hospitality Management (with international placement),AL855,308,,Personal services,Athlone Institute of Technology
Digital Marketing,AL857,304,,Business and administration,Athlone Institute of Technology
Social Care Practice,AL860,300,,Welfare,Athlone Institute of Technology
Animation and Illustration (portfolio),AL861,578,,Arts,Athlone Institute of Technology
Graphic and Digital Design (portfolio),AL863,781,,Arts,Athlone Institute of Technology
Early Years Care and Education,AL864,307,,Welfare,Athlone Institute of Technology
Applied Psychology,AL870,418,,Social and behavioural sciences,Athlone Institute of Technology
"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,,Education,St. Angela`s College
"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,434,Education,St. Angela`s College
"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,440,Education,St. Angela`s College
"Nutrition, Food and Business Management",AS051,328,317,Business and administration,St. Angela`s College
Home Economics,AS054,408,398,Biological and related sciences,St. Angela`s College
General Nursing,AS110,419,,Health,St. Angela`s College
Intellectual Disability Nursing,AS130,336,328,Health,St. Angela`s College
Counselling Skills and Psychotherapy Studies,CI001,300,,Welfare,Irish College of Humanities & Applied Sciences
Counselling Skills and Addiction Studies,CI002,309,,Welfare,Irish College of Humanities & Applied Sciences
Counselling Skills and Youth Studies,CI005,306,302,Welfare,Irish College of Humanities & Applied Sciences
Counselling and Psychotherapy,CI110,310,,Welfare,Irish College of Humanities & Applied Sciences
Counselling and Addiction Studies,CI111,301,,Welfare,Irish College of Humanities & Applied Sciences
Counselling and Youth Studies,CI112,311,,Welfare,Irish College of Humanities & Applied Sciences
Arts - 3 years,CK101,300,,Arts,University College Cork (NUI)
Social Science,CK102,412,,Social and behavioural sciences,University College Cork (NUI)
Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,,Arts,University College Cork (NUI)
Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,337,Arts,University College Cork (NUI)
Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,,Humanities (except languages),University College Cork (NUI)
Arts International - 4 years,CK108,401,,Languages,University College Cork (NUI)
English - 3 years or 4 years (International Pathway),CK109,318,,Languages,University College Cork (NUI)
World Languages,CK110,452,433,Languages,University College Cork (NUI)
Early Years and Childhood Studies,CK111,419,,Welfare,University College Cork (NUI)
Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,,Arts,University College Cork (NUI)
Criminology - 3 years or 4 years (International Pathway),CK113,423,,Social and behavioural sciences,University College Cork (NUI)
Social Science (Youth and Community Work) - 3 years,CK114,,,Welfare,University College Cork (NUI)
Social Work - Mature Applicants only,CK115,,,Welfare,University College Cork (NUI)
Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,,Arts,University College Cork (NUI)
Applied Psychology,CK120,533,532,Social and behavioural sciences,University College Cork (NUI)
Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,,Social and behavioural sciences,University College Cork (NUI)
Government and Political Science,CK122,337,328,Social and behavioural sciences,University College Cork (NUI)
Anthropology,CK123,308,,Humanities (except languages),University College Cork (NUI)
Education - Gaeilge,CK124,463,462,Education,University College Cork (NUI)
Sports Studies and Physical Education,CK125,510,509,Education,University College Cork (NUI)
Commerce,CK201,477,,Business and administration,University College Cork (NUI)
Accounting,CK202,509,,Business and administration,University College Cork (NUI)
Business Information Systems,CK203,430,,Information and Communication Technologies (ICTs),University College Cork (NUI)
Finance,CK204,556,,Business and administration,University College Cork (NUI)
Commerce (International) with French,CK205,445,,Business and administration,University College Cork (NUI)
Commerce (International) with German,CK206,420,418,Business and administration,University College Cork (NUI)
Commerce (International) with Italian,CK207,388,,Business and administration,University College Cork (NUI)
Commerce (International) with Hispanic Studies,CK208,402,,Business and administration,University College Cork (NUI)
Commerce (International) with Irish,CK209,484,,Business and administration,University College Cork (NUI)
Commerce (International) with Chinese Studies,CK211,397,,Business and administration,University College Cork (NUI)
Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,,Social and behavioural sciences,University College Cork (NUI)
Food Marketing and Entrepreneurship,CK213,462,,Business and administration,University College Cork (NUI)
International Development,CK214,346,,Social and behavioural sciences,University College Cork (NUI)
Law (Pathways) -  3 or 4 years,CK301,507,499,Law,University College Cork (NUI)
Law and French,CK302,542,,Law,University College Cork (NUI)
Law and Irish,CK304,540,,Law,University College Cork (NUI)
Law and Business,CK307,556,,Law,University College Cork (NUI)
Computer Science,CK401,468,,Information and Communication Technologies (ICTs),University College Cork (NUI)
Biological and Chemical Sciences,CK402,510,509,Biological and related sciences,University College Cork (NUI)
"Biological, Earth and Environmental Sciences",CK404,467,,Biological and related sciences,University College Cork (NUI)
Genetics,CK405,487,,Biological and related sciences,University College Cork (NUI)
Chemical Sciences,CK406,485,472,Physical sciences,University College Cork (NUI)
Mathematical Sciences,CK407,566,565,Mathematics and statistics,University College Cork (NUI)
Physics and Astrophysics,CK408,554,542,Physical sciences,University College Cork (NUI)
Industrial Physics - Offered jointly by UCC and CIT,CK409,432,,Physical sciences,University College Cork (NUI)
Data Science and Analytics,CK411,510,,Information and Communication Technologies (ICTs),University College Cork (NUI)
Agricultural Science,CK412,496,496,Agriculture,University College Cork (NUI)
Nutritional Sciences,CK504,518,,Biological and related sciences,University College Cork (NUI)
Food Science,CK505,441,440,Manufacturing and processing,University College Cork (NUI)
Engineering,CK600,487,,Engineering and engineering trades,University College Cork (NUI)
Architecture - Offered jointly by UCC and CIT,CK606,484,476,Architecture and construction,University College Cork (NUI)
Medicine (Undergraduate Entry - HPAT required),CK701,731,,Health,University College Cork (NUI)
Dentistry,CK702,613,613,Health,University College Cork (NUI)
Pharmacy,CK703,590,589,Health,University College Cork (NUI)
Occupational Therapy,CK704,566,555,Health,University College Cork (NUI)
Speech and Language Therapy,CK705,520,,Health,University College Cork (NUI)
Public Health Sciences,CK706,454,,Health,University College Cork (NUI)
Medical and Health Sciences,CK707,542,541,Health,University College Cork (NUI)
General Nursing,CK710,454,,Health,University College Cork (NUI)
Children`s and General Nursing (Integrated),CK712,533,,Health,University College Cork (NUI)
Mental Health Nursing,CK720,423,,Health,University College Cork (NUI)
Intellectual Disability Nursing,CK730,419,411,Health,University College Cork (NUI)
Midwifery,CK740,484,,Health,University College Cork (NUI)
Medicine  - Graduate Entry (GAMSAT required),CK791,57,,Health,University College Cork (NUI)
Education - Primary Teaching,CM001,484,,Education,Marino Institute of Education
Education - Primary Teaching - Gaeltacht Applicants,CM002,,,Education,Marino Institute of Education
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,,Education,Marino Institute of Education
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,,Education,Marino Institute of Education
Education Studies,CM010,319,,Education,Marino Institute of Education
Early Childhood Education,CM020,327,,Education,Marino Institute of Education
