,Course_Code,Course_Name,R1_Points,R2_Points
0,AL801,Software Design for Virtual Reality and Gaming,300,
1,AL802,Software Design in Artificial Intelligence for Clo,313,
2,AL803,Software Design for Mobile Apps and Connected Devi,350,
3,AL805,Computer Engineering for Network Infrastructure,321,
4,AL810,Quantity Surveying,328,
5,AL820,Mechanical and Polymer Engineering,327,
6,AL830,General Nursing,451,444
7,AL832,Mental Health Nursing,440,431
8,AL835,Pharmacology,356,
9,AL836,Nutrition and Health Science,346,
10,AL837,Sports Science with Exercise Physiology,357,
11,AL838,Biotechnology,324,
12,AL839,Microbiology,325,
13,AL840,Pharmaceutical Sciences,346,
14,AL841,Athletic and Rehabilitation Therapy,477,476
15,AL842,Bioveterinary Science,338,
16,AL843,Physical Activity and Health Science,306,
17,AL849,Culinary Entrepreneurship,297,
18,AL850,Business,309,
19,AL851,Business and Law,302,
20,AL852,Accounting,336,
21,AL854,Sport Management (with international placement),300,299
22,AL855,Hospitality Management (with international placeme,309,
23,AL857,Digital Marketing,304,
24,AL859,International Business,308,
25,AL860,Social Care Practice,301,
26,AL861,Animation and Illustration (portfolio),575,
27,AL863,Graphic and Digital Design (portfolio),747,
28,AL864,Early Years Care and Education,306,
29,AL870,Applied Psychology,484,467
30,CW018,Business (options),307,
31,CW028,Early Childhood Education and Care,260,
32,CW038,Art (portfolio),700,
33,CW058,Tourism and Event Management,292,
34,CW068,Applied Social Studies in Professional Social Care,250,
35,CW078,Sustainable Farm Management and Agribusiness,270,
36,CW088,Visual Communications and Design,270,
37,CW108,Science (options),266,
38,CW128,Brewing and Distilling,307,
39,CW138,Sport and Exercise Science,430,423
40,CW148,Strength and Conditioning,388,
41,CW188,Sport Rehabilitation and Athletic Therapy,451,
42,CW208,Computer Games Development,272,
43,CW238,Software Development,295,
44,CW248,Information Technology Management,293,
45,CW258,Cybercrime and IT Security,292,
46,CW268,Computing in Interactive Digital Art and Design,291,
47,CW438,Construction (options),260,251
48,CW468,Architectural Technology,291,283
49,CW478,Civil Engineering,465,
50,CW548,Mechanical Engineering,330,328
51,CW558,Electronic Systems,280,
52,CW568,Aerospace Engineering,371,359
53,CW578,TV and Media Production,318,
54,CW708,Law - LLB,292,
55,CW728,Product Design Innovation,246,
56,CW748,Early Childhood Education and Care,290,
57,CW758,Professional Social Care Practice,360,358
58,CW808,Media and Public Relations,247,
59,CW848,Digital Marketing with Analytics,269,
60,CW858,Sports Management and Coaching (options,portfolio,700
61,CW908,Business (options),272,
62,CW938,Business with Law,270,
63,CW948,Accounting,319,
64,PC405,Social,Political and Community Studies,263
65,PC410,Arts and Humanities (fulfils Teaching Council requ,262,230
66,PC411,English and History (fulfils Teaching Council requ,243,224
67,CR105,Chemical and Biopharmaceutical Engineering,443,
68,CR106,Software Development,431,
69,CR108,Mechanical Engineering,434,
70,CR109,Structural Engineering,396,
71,CR110,Automotive Business Management and Technology,336,
72,CR112,Creative Digital Media at CIT Crawford College of,390,
73,CR116,Computer Systems,365,
74,CR121,Music at CIT Cork School of Music,904,904
75,CR125,Popular Music at CIT Cork School of Music,1028,
76,CR130,Musical Theatre at CIT Cork School of Music,525,
