,Course_Code,Course_Name,R1_Points21,R2_Points21
0,AL801,Software Design for Virtual Reality and Gaming,300.0,
1,AL802,Software Design in Artificial Intelligence for Clo,313.0,
2,AL803,Software Design for Mobile Apps and Connected Devi,350.0,
3,AL805,Computer Engineering for Network Infrastructure,321.0,
4,AL810,Quantity Surveying,328.0,
5,AL811,Civil Engineering,,
6,AL820,Mechanical and Polymer Engineering,327.0,
7,AL830,General Nursing,451.0,444.0
8,AL832,Mental Health Nursing,440.0,431.0
9,AL835,Pharmacology,356.0,
10,AL836,Nutrition and Health Science,346.0,
11,AL837,Sports Science with Exercise Physiology,357.0,
12,AL838,Biotechnology,324.0,
13,AL839,Microbiology,325.0,
14,AL840,Pharmaceutical Sciences,346.0,
15,AL841,Athletic and Rehabilitation Therapy,477.0,476.0
16,AL842,Bioveterinary Science,338.0,
17,AL843,Physical Activity and Health Science,306.0,
18,AL849,Culinary Entrepreneurship,297.0,
19,AL850,Business,309.0,
20,AL851,Business and Law,302.0,
21,AL852,Accounting,336.0,
22,AL854,Sport Management (with international placement),300.0,299.0
23,AL855,Hospitality Management (with international placeme,309.0,
24,AL857,Digital Marketing,304.0,
25,AL859,International Business,308.0,
26,AL860,Social Care Practice,301.0,
27,AL861,Animation and Illustration (portfolio),575.0,
28,AL863,Graphic and Digital Design (portfolio),747.0,
29,AL864,Early Years Care and Education,306.0,
30,AL870,Applied Psychology,484.0,467.0
31,CW018,Business (options),307.0,
32,CW028,Early Childhood Education and Care,260.0,
33,CW038,Art (portfolio),700.0,
34,CW058,Tourism and Event Management,292.0,
35,CW068,Applied Social Studies in Professional Social Care,250.0,
36,CW078,Sustainable Farm Management and Agribusiness,270.0,
37,CW088,Visual Communications and Design,270.0,
38,CW108,Science (options),266.0,
39,CW128,Brewing and Distilling,307.0,
40,CW138,Sport and Exercise Science,430.0,423.0
41,CW148,Strength and Conditioning,388.0,
42,CW188,Sport Rehabilitation and Athletic Therapy,451.0,
43,CW208,Computer Games Development,272.0,
44,CW238,Software Development,295.0,
45,CW248,Information Technology Management,293.0,
46,CW258,Cybercrime and IT Security,292.0,
47,CW268,Computing in Interactive Digital Art and Design,291.0,
48,CW438,Construction (options),260.0,251.0
49,CW468,Architectural Technology,291.0,283.0
50,CW478,Civil Engineering,465.0,
51,CW548,Mechanical Engineering,330.0,328.0
52,CW558,Electronic Systems,280.0,
53,CW568,Aerospace Engineering,371.0,359.0
54,CW578,TV and Media Production,318.0,
55,CW708,Law - LLB,292.0,
56,CW728,Product Design Innovation,246.0,
57,CW748,Early Childhood Education and Care,290.0,
